"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102044";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR2 3QZ";"53.7824";"-2.7246355";"Lapsed Booker";"1879";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR3 0TB";"53.882743";"-2.7994458";"Active Booker";"104865";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"105406";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102798";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"104942";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"105219";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"104910";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"BL1 5NY";"53.5865663";"-2.4709223";"Student";"104223";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"BL1 5NY";"53.5865663";"-2.4709223";"Active Booker";"105099";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Student";"1892";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"CA12 5EW";"54.5969039";"-3.1481703";"Lapsed Booker";"1893";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA5 0SN";"54.1867024";"-2.8271845";"Active Booker";"1894";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"1911";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Active Booker";"1914";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102837";"N";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"LA7 7TZ";"54.2266742";"-2.7724253";"Regular Booker";"100428";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA6 1JG";"54.1631271";"-2.7247161";"Lapsed Booker";"1927";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA2 6BQ";"54.0839557";"-2.7861084";"Regular Booker";"100358";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"FY1 2AA";"53.8205745";"-3.052266";"Active Booker";"104302";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"N";"N"
NULL;"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"102588";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105289";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"101322";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";NULL;NULL;NULL;"Lapsed Booker";"102751";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"WN6 0HN";"53.5871433";"-2.6628328";"Student";"105187";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 9ES";"54.0461848";"-2.7098815";"Regular Booker";"1934";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"100390";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y"
"M";"LA23 2AZ";"54.3734765";"-2.905094";"Lapsed Booker";"102516";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"104943";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LS14 3HD";"53.861288";"-1.43752";"Active Booker";"102240";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105473";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102523";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA6 1JG";"54.1631271";"-2.7247161";"Active Booker";"1947";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA18 4QX";"54.2079118";"-3.2758941";"Active Booker";"105478";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"BB18 5AF";"53.9155513";"-2.1869049";"Active Booker";"1961";"Y";"N";"N";"N";"Y";"Y";"Y";"N";"Y";"N"
NULL;"BB5 6HG";"53.7616329";"-2.3520464";"Active Booker";"105464";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"WS1 3JR";"52.5772429";"-1.977339";"Lapsed Booker";"100239";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"100423";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"104944";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102050";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105227";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104224";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102896";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"IP33 3EQ";"52.2462857";"0.69750714";"Student";"105259";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"PR5 4LG";"53.7417911";"-2.6660533";"Active Booker";"104249";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"Y"
"M";"LA5 0SN";"54.1867024";"-2.8271845";"Lapsed Booker";"102558";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104373";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR1 9LD";"53.7397071";"-2.7133143";"Active Booker";"104499";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"104885";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"102241";"Y";"Y";"Y";"N";"Y";"Y";"N";"N";"N";"N"
"F";"PR3 1HZ";"53.9068429";"-2.7624231";"Lapsed Booker";"102866";"Y";"Y";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"M34 5WL";"53.4735882";"-2.1230817";"Student";"104881";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"2020";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Lapsed Booker";"102549";"Y";"Y";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102797";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102979";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"BB5 3BJ";"53.7416854";"-2.3934554";"Active Booker";"2033";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA5 9HG";"54.1378168";"-2.7678132";"Active Booker";"2035";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"LA2 9ES";"54.0461848";"-2.7098815";"Lapsed Booker";"102506";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Student";"103060";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Active Booker";"104918";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102644";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA12 8JL";"54.2719639";"-3.0164124";"Lapsed Booker";"2052";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Lapsed Booker";"102736";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"105041";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA2 9ES";"54.0461848";"-2.7098815";"Active Booker";"102993";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Lapsed Booker";"103003";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102899";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"105213";"Y";"Y";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102689";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"BB8 9RU";"53.8598351";"-2.1739149";"Active Booker";"105283";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"BB2 4PA";"53.7300113";"-2.4980902";"Active Booker";"102230";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105470";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"IP7 6LH";"52.0631787";"0.95178744";"Student";"104284";"N";"N";"Y";"N";"N";"N";"Y";"N";"N";"N"
NULL;"LA3 2JJ";"54.0446703";"-2.8922308";"Active Booker";"105355";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Active Booker";"2138";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;NULL;NULL;NULL;"Active Booker";"105155";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Student";"104996";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"2147";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Student";"104837";"Y";"N";"N";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA9 6DL";"54.338346";"-2.7381943";"Active Booker";"102703";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Active Booker";"104288";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"100756";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105218";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Student";"105191";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"FY8 3JG";"53.7596602";"-3.0108919";"Active Booker";"102672";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Lapsed Booker";"102101";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"103000";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"BB12 9LY";"53.8345385";"-2.2720385";"Active Booker";"105115";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Student";"104843";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105086";"Y";"N";"N";"N";"Y";"N";"Y";"N";"Y";"N"
"M";NULL;NULL;NULL;"Active Booker";"105228";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"100607";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Student";"105400";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR2 9WH";"53.7908375";"-2.6979167";"Active Booker";"104952";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"BB11 4LF";"53.7848364";"-2.2570545";"Active Booker";"105105";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"103712";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102876";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"M";"FY8 2HE";"53.7604711";"-3.0334622";"Active Booker";"105316";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"PR4 3HD";"53.7998213";"-2.8807787";"Active Booker";"105025";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA6 2BB";"54.205825";"-2.5969083";"Lapsed Booker";"2209";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102563";"Y";"Y";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA5 9HG";"54.1378168";"-2.7678132";"Active Booker";"2217";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"105250";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"102246";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Lapsed Booker";"103084";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"N10 2DT";"51.6001747";"-0.1415361";"Student";"105186";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"100469";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"104981";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"2243";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;NULL;NULL;NULL;"Regular Booker";"103651";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"104222";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Regular Booker";"103653";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"105103";"Y";"N";"N";"N";"Y";"Y";"Y";"N";"Y";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Student";"105273";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"105455";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"105180";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102559";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA8 0LX";"54.2924085";"-2.6926972";"Active Booker";"2274";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"M";"LA2 6BQ";"54.0839557";"-2.7861084";"Regular Booker";"2275";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"2281";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"F";"LA2 6BQ";"54.0839557";"-2.7861084";"Active Booker";"103713";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102826";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"CF23 6AL";"51.5192795";"-3.1647467";"Student";"105138";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Student";"104242";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"104243";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Lapsed Booker";"103056";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"101176";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"WR5 3QR";"52.1646329";"-2.2091329";"Student";"104859";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105434";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"CA11 7XA";"54.666388";"-2.752368";"Lapsed Booker";"2314";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;NULL;NULL;NULL;"Active Booker";"105260";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"M";"LA17 7UL";"54.2400847";"-3.1745932";"Lapsed Booker";"102474";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Regular Booker";"2333";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"NE61 6LP";"55.1552125";"-1.6577667";"Student";"105320";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"102602";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"BL0 0EQ";"53.6618739";"-2.3061757";"Lapsed Booker";"102633";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Student";"100636";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 1PS";"54.049537";"-2.7996342";"Student";"104887";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"L31 8EQ";"53.5148611";"-2.9527361";"Active Booker";"102586";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"L23 9TY";"53.493234";"-3.0054574";"Student";"104380";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA9 4JU";"54.3252657";"-2.7521208";"Regular Booker";"2356";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"102251";"Y";"Y";"N";"N";"N";"Y";"N";"N";"Y";"Y"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"104889";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR1 1YN";"53.7644113";"-2.6986667";"Student";"104987";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"2372";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102731";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105294";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"105337";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102953";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"W5  2ED";"51.5156667";"-0.2917952";"Student";"104381";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 5PA";"54.0477115";"-2.8129192";"Lapsed Booker";"102481";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105043";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102796";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Student";"105472";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"BB4 5RT";"53.7084508";"-2.3240052";"Active Booker";"105074";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"104982";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"BB1 4DR";"53.7691769";"-2.4191837";"Student";"105079";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"105211";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N"
"F";"LA4 6RN";"54.0741967";"-2.8349795";"Lapsed Booker";"102111";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 3EY";"54.0504484";"-2.786843";"Student";"104977";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"103019";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"104299";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"104988";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"PR4 5YT";"53.7262091";"-2.7807909";"Regular Booker";"7282";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LS6 3JY";"53.821809";"-1.5843166";"Student";"104963";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"PR3 1HZ";"53.9068429";"-2.7624231";"Lapsed Booker";"102670";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Active Booker";"104905";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Lapsed Booker";"2432";"N";"?";"Y";"?";"Y";"?";"?";"?";"?";"?"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105168";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"M32 9LJ";"53.4507981";"-2.3228732";"Active Booker";"105348";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 1PS";"54.049537";"-2.7996342";"Student";"100243";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"M32 9LJ";"53.4507981";"-2.3228732";"Lapsed Booker";"102609";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Student";"104908";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102695";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;"M9  8EJ";"53.5252394";"-2.2255258";"Lapsed Booker";"102722";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"104639";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Student";"105214";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105436";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"2467";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;"FY5 3RS";"53.8696679";"-3.0293582";"Active Booker";"102656";"Y";"Y";"N";"N";"Y";"Y";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Student";"105122";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"BL7 9EY";"53.6218614";"-2.4275611";"Active Booker";"105042";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"101324";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Student";"105666";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Lapsed Booker";"2490";"N";"?";"N";"?";"N";"?";"?";"?";"?";"?"
NULL;"FY5 2JR";"53.8834608";"-3.0251536";"Active Booker";"105440";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";NULL;NULL;NULL;"Lapsed Booker";"102603";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N"
NULL;NULL;NULL;NULL;"Active Booker";"105109";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"104880";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
"F";"LA1 4EP";"54.0322724";"-2.7906442";"Regular Booker";"103715";"Y";"N";"N";"N";"N";"N";"N";"N";"Y";"Y"
NULL;NULL;NULL;NULL;"Student";"102578";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Student";"105185";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";NULL;NULL;NULL;"Regular Booker";"2517";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"CV8 2NU";"52.3480066";"-1.5601287";"Lapsed Booker";"102117";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Lapsed Booker";"102118";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"F";"DE4 2LE";"53.1596277";"-1.6070909";"Regular Booker";"103794";"N";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
"F";"LA2 0NU";"53.9922216";"-2.7988144";"Lapsed Booker";"102328";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Active Booker";"104241";"Y";"N";"N";"N";"Y";"N";"Y";"N";"N";"N"
