"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)"
NULL;"LA10 5JR";"54.3151607";"-2.4935491";"Active Booker";"102605";"Y";"N";"Y";"N";"N";"N";"N";"N";"N";"N"
NULL;"BA12 9HS";"51.2019133";"-2.1726071";"Active Booker";"104831";"Y";"Y";"Y";"Y";"N";"N";"N";"N";"N";"N"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Active Booker";"243";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;"BB2 5NX";"53.7286615";"-2.5270231";"Student";"104301";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"PR4 2BU";"53.7819528";"-2.8828197";"Active Booker";"105053";"Y";"Y";"Y";"N";"Y";"N";"Y";"N";"Y";"N"
NULL;"FY8 4JX";"53.7483923";"-2.9761462";"Regular Booker";"100593";"Y";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
"F";"BB6 7RA";"53.7872797";"-2.4048046";"Lapsed Booker";"102601";"Y";"N";"Y";"N";"Y";"Y";"N";"N";"Y";"Y"
NULL;"BB5 3BJ";"53.7416854";"-2.3934554";"Active Booker";"105270";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"N";"N"
NULL;"LA2 0NU";"53.9922216";"-2.7988144";"Lapsed Booker";"100583";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
NULL;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"105070";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N"
"M";"LA17 7UL";"54.2400847";"-3.1745932";"Regular Booker";"103759";"N";"N";"Y";"N";"Y";"N";"N";"N";"N";"N"
NULL;NULL;NULL;NULL;"Lapsed Booker";"102734";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N"
