"Sex";"fakecode";"fakelat";"fakelong";"PatronType";"PatronID";"EMAI/Venue";"EMAI/Third Patry (i.e. Promoter or Partner)";"PHON/Venue";"PHON/Third Patry (i.e. Promoter or Partner)";"POST/Venue";"POST/Third Patry (i.e. Promoter or Partner)";"SMS/Venue";"SMS/Third Patry (i.e. Promoter or Partner)";"SOCI/Venue";"SOCI/Third Patry (i.e. Promoter or Partner)";"TotalPaymentValue"
;"LA4 6RN";"54.0741967";"-2.8349795";"Active Booker";"1130";"N";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"110.00"
;"LA5 0SN";"54.1867024";"-2.8271845";"Active Booker";"5335";"Y";"?";"Y";"?";"Y";"?";"?";"?";"?";"?";"108.50"
"M";;;;"Active Booker";"2679";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"107.50"
"M";"PR3 0TB";"53.882743";"-2.7994458";"Student";"621";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"105.20"
;"LA1 5PA";"54.0477115";"-2.8129192";"Active Booker";"104945";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"104.45"
"F";"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"52";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"103.10"
"M";"LA1 5PA";"54.0477115";"-2.8129192";"Student";"105730";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"100.50"
"M";"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"104871";"Y";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"98.93"
;"LA2 6BQ";"54.0839557";"-2.7861084";"Regular Booker";"102992";"Y";"N";"N";"N";"Y";"N";"N";"N";"Y";"N";"98.50"
"F";"HD2 2PH";"53.666289";"-1.7923555";"Student";"100244";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"98.00"
;"CA17 4AP";"54.4806058";"-2.350024";"Active Booker";"103100";"N";"N";"N";"N";"Y";"Y";"N";"N";"N";"N";"97.00"
;"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"5293";"Y";"?";"N";"?";"Y";"?";"?";"?";"?";"?";"96.08"
;;;;"Active Booker";"105019";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"95.00"
;"PR3 1HZ";"53.9068429";"-2.7624231";"Active Booker";"102714";"Y";"N";"N";"N";"Y";"N";"N";"N";"N";"N";"95.00"
;"LA1 4EP";"54.0322724";"-2.7906442";"Active Booker";"103685";"Y";"N";"Y";"N";"N";"N";"Y";"N";"Y";"N";"94.00"
"M";"LA7 7TZ";"54.2266742";"-2.7724253";"Regular Booker";"100428";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"93.84"
"F";"LA1 3EY";"54.0504484";"-2.786843";"Student";"103730";"Y";"N";"N";"N";"Y";"N";"Y";"N";"Y";"N";"93.00"
"F";;;;"Lapsed Booker";"102681";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"93.00"
;"LA7 7TZ";"54.2266742";"-2.7724253";"Active Booker";"104985";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"91.00"
;"PR2 6BH";"53.7781575";"-2.6613736";"Student";"104305";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"90.00"
"F";"LA2 6BQ";"54.0839557";"-2.7861084";"Lapsed Booker";"102747";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"89.50"
;"PR2 6BH";"53.7781575";"-2.6613736";"Active Booker";"105267";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"Y";"N";"88.50"
;"LA6 2BB";"54.205825";"-2.5969083";"Active Booker";"102863";"Y";"N";"N";"N";"N";"N";"N";"N";"N";"N";"88.23"
