"branch";"author";"title";"class";"fakecode";"fakelat";"fakelong"
"36";"Ballew, Joli";"Brilliant Mac basics";"4.1650";"NE29 6EJ";"55.003298";"-1.4558889"
"36";"Cooper, Peter";"Beginning Ruby : From novice to professional";"5.1330";"NE4 7RU";"54.9661468";"-1.6362294"
"36";"Rathbone, Andy";"Windows 7 for dummies";"5.4460";"NE20 9RA";"55.0435056";"-1.7516105"
"36";"Schwartz, Steven A.";"Microsoft Office 2010 for Windows";"5.5000";"NE20 9RA";"55.0435056";"-1.7516105"
"12";"Weverka, Peter";"Windows XP gigabook for dummies";"5.4460";"NE15 9ED";"54.9955085";"-1.7503107"
"36";"Seguis, Steve";"Microsoft Windows server 2008 administration";"5.4460";"NE9 7XG";"54.9234453";"-1.5678905"
"36";"Arnold, Adrian";"Computing with Windows 7 for the older and wiser";"5.4370";"NE6 5LJ";"54.986578";"-1.5775826"
"36";"Bates, Martin P.";"Programming 8-bit PIC microcontrollers in C : wi";"5.1330";"NE8 3NS";"54.95825";"-1.5897935"
"36";"Miser, Brad";"My iPhone";"4.1670";"NE8 3NS";"54.95825";"-1.5897935"
"36";"Perry, Greg";"Sams teach yourself Office productivity : all in";"5.3690";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Sargent, Brian";"Information and communication technology for GCS";"4.0000";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Mott, Julian";"AQA Information and Communication Technology for";"4.0000";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Johnson, Jennifer";"Spreadsheets using Office 2000";"5.3600";"NE5 3EB";"54.9959224";"-1.664498"
"36";NULL;"Computing made easy for the over 50s : suitable";"4.0840";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Gookin, Dan";"Laptops for dummies";"4.1600";"NE38 0HE";"54.8964966";"-1.5433893"
"36";"Shema, Mike";"Anti-hacker tool kit";"5.8000";"NE6 3NP";"54.9705946";"-1.5480865"
"36";"Linoff, Gordon";"Data analysis using SQL and Excel";"5.5400";"NE6 3NP";"54.9705946";"-1.5480865"
"36";"Cox, Joyce";"Microsoft Office Word 2007 : step by step";"5.5220";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Conner, Nancy";"Google Apps : the missing manual";"5.3600";"NE5 3EB";"54.9959224";"-1.664498"
"36";"DiGiacomo, Patricia";"Using Microsoft Office Outlook 2007";"5.5700";"NE5 3EB";"54.9959224";"-1.664498"
"36";"Groh, Michael";"Access 2007 bible";"5.7560";"NE5 3EB";"54.9959224";"-1.664498"
"11";"Johnson, Steve";"Brilliant Microsoft Excel 2010";"5.5400";NULL;NULL;NULL
"11";"Johnson, Steve";"Brillian Microsoft Word 2010";"5.5200";NULL;NULL;NULL
"11";"Bride, Mac";"New CLAIT";"4.0000";"NE5 4DW";"55.0059111";"-1.6856611"
"36";"White, Ron";"How computers work";"4.0000";"NE5 4DW";"55.0059111";"-1.6856611"
"35";"Abram, Carolyn";"Facebook for dummies";"4.6900";"NE6 1PL";"54.9755154";"-1.5809154"
"35";"Shoup, Kate";"Simply Office 2010";"5.5000";"NE6 1PL";"54.9755154";"-1.5809154"
"36";"Hill, Josh";"Microsoft PowerPoint 2010";"5.5800";"NE7 7PL";"55.0001164";"-1.5787226"
"5";"McFedries, Paul";"Computers simplified";"4.1600";"NE3 3TB";"55.0091977";"-1.6459574"
"36";"Holden, Greg";"Laptop basics for the over 50s in simple steps";"4.1600";"NE25 8BH";"55.0391897";"-1.459559"
"36";"Price, Michael";"Internet for seniors in easy steps";"4.6780";"NE25 8BH";"55.0391897";"-1.459559"
"36";"Pariser, Eli";"Filter bubble : what the Internet is hiding from";"4.6780";"NE2 2RR";"54.9919918";"-1.6003689"
"36";"Niederst, Jennifer";"Learning Web design : a beginner's guide to HTML";"5.7200";"NE3 1AR";"55.0071528";"-1.6117037"
"9";"Johnson, Steve";"Brilliant Microsoft Excel 2007";"5.5400";"NE4 8AH";"54.9718675";"-1.6538079"
"9";"Ledford, Jerri L.";"Brilliant Microsoft Office 2007 pocket book";"5.5000";"NE4 8AH";"54.9718675";"-1.6538079"
"9";"Diamond, Scott B.";"Brilliant Access 2007 VBA & Macros";"5.7565";"NE4 8AH";"54.9718675";"-1.6538079"
