"branch";"author";"title";"fakecode";"fakelat";"fakelong"
"35";"Patterson, James";"10th anniversary";"NE6 2LD";"54.9747647";"-1.5693971"
"7";"Patterson, James";"Swimsuit";"NE7 7PL";"55.0001164";"-1.5787226"
"6";"Patterson, James";"Now you see her";"NE6 3NP";"54.9705946";"-1.5480865"
"6";"Patterson, James";"Tick, tock";"NE6 3NP";"54.9705946";"-1.5480865"
"6";"Patterson, James";"Toys";"NE6 3NP";"54.9705946";"-1.5480865"
"6";"Patterson, James";"Private London";"NE6 2LD";"54.9747647";"-1.5693971"
"6";"Patterson, James";"4th of July";"NE6 3NP";"54.9705946";"-1.5480865"
"5";"Patterson, James";"Kill me if you can";NULL;NULL;NULL
"2";"Patterson, James";"10th anniversary";"NE3 3TB";"55.0091977";"-1.6459574"
"36";"Patterson, James";"Private";"NE42 6NP";"54.964883";"-1.8660175"
"6";"Patterson, James";"Tick, tock";"NE6 5LJ";"54.986578";"-1.5775826"
"4";"Patterson, James";"Fang";"NE4 9EP";"54.9821682";"-1.6541318"
"36";"Patterson, James";"Kill me if you can";"NE6 1PL";"54.9755154";"-1.5809154"
"36";"Patterson, James";"Fang";"NE15 0JA";"54.9987079";"-1.8160337"
"1";"Patterson, James";"Private";"NE5 1TU";"55.0008475";"-1.7148744"
"36";"Patterson, James";"Postcard killers";"NE2 4AB";"54.9839327";"-1.620875"
"36";"Patterson, James";"Private";"NE2 4AB";"54.9839327";"-1.620875"
"36";"Patterson, James";"Run for your life";"NE6 4XY";"54.9836239";"-1.5508982"
"1";"Patterson, James";"Swimsuit";"NE5 1TU";"55.0008475";"-1.7148744"
"1";"Patterson, James";"Step on a crack";"NE5 1TU";"55.0008475";"-1.7148744"
"7";"Patterson, James";"Cross fire";"NE7 7PL";"55.0001164";"-1.5787226"
"1";"Patterson, James";"Lifeguard";"NE20 9RA";"55.0435056";"-1.7516105"
"1";"Patterson, James";"Step on a crack";"NE20 9RA";"55.0435056";"-1.7516105"
"20";"Patterson, James";"London bridges";"NE15 7UB";"54.9815404";"-1.6920202"
"2";"Patterson, James";"Postcard killers";"NE3 2SL";"55.01723";"-1.6492613"
"2";"Patterson, James";"Toys";"NE3 4XN";"55.0029962";"-1.6345623"
"36";"Patterson, James";"9th judgement";"NE20 9RA";"55.0435056";"-1.7516105"
"3";"Patterson, James";"Private London";"NE4 9EP";"54.9821682";"-1.6541318"
"9";"Patterson, James";"Don't blink";NULL;NULL;NULL
