"branch";"branchname";"registered";"fakecode";"fakelat";"fakelong"
"36";"CITY";"40913.59003472222";"NE6 3NP";"54.9705946";"-1.5480865"
"36";"CITY";"40913.59172453704";"NE8 3NS";"54.95825";"-1.5897935"
"36";"CITY";"40913.59184027778";"NE10 9EF";"54.9469907";"-1.5684346"
"9";"WEST END";"40913.59908564815";"NE4 8AH";"54.9718675";"-1.6538079"
"36";"CITY";"40913.60083333333";"NE2 4AB";"54.9839327";"-1.620875"
"1";"OUTER WEST LIBRARY";"40913.61275462963";"NE5 1TU";"55.0008475";"-1.7148744"
"36";"CITY";"40913.61983796296";"TS20 1EG";"54.5926136";"-1.3172424"
"36";"CITY";"40913.62300925926";"NE3 3TB";"55.0091977";"-1.6459574"
"35";"EAST END";"40913.6303587963";"NE6 2LD";"54.9747647";"-1.5693971"
"36";"CITY";"40913.65650462963";"DH2 2NE";"54.8597149";"-1.5938511"
"2";"GOSFORTH";"40913.66010416667";"NE3 4XN";"55.0029962";"-1.6345623"
"2";"GOSFORTH";"40913.66018518519";"NE3 4XN";"55.0029962";"-1.6345623"
"2";"GOSFORTH";"40913.66122685185";"NE3 4XN";"55.0029962";"-1.6345623"
"5";"KENTON";"40913.66638888889";"NE3 3TB";"55.0091977";"-1.6459574"
"5";"KENTON";"40913.66726851852";"NE3 3TB";"55.0091977";"-1.6459574"
"5";"KENTON";"40913.66822916667";"NE3 3TB";"55.0091977";"-1.6459574"
"3";"FENHAM";"40913.66978009259";"NE4 9EP";"54.9821682";"-1.6541318"
"11";"NEWBIGGIN HALL";"40913.66982638889";"NE5 4DW";"55.0059111";"-1.6856611"
"36";"CITY";"40913.67184027778";"NE30 3BA";"55.030733";"-1.4436492"
"11";"NEWBIGGIN HALL";"40913.67193287037";"NE5 4DW";"55.0059111";"-1.6856611"
"35";"EAST END";"40913.68394675926";"NE28 6QD";"54.9921988";"-1.515795"
"36";"CITY";"40913.690625";"NE8 4NP";"54.9511256";"-1.6065377"
"36";"CITY";"40913.69086805556";"NE4 6JG";"54.9719748";"-1.6344969"
"36";"CITY";"40913.69596064815";"NE4 6JG";"54.9719748";"-1.6344969"
"1";"OUTER WEST LIBRARY";"40913.70054398148";"NE15 7UB";"54.9815404";"-1.6920202"
"1";"OUTER WEST LIBRARY";"40913.70157407408";"NE15 7UB";"54.9815404";"-1.6920202"
"36";"CITY";"40913.70267361111";"NE4 5EQ";"54.9768148";"-1.6327259"
"36";"CITY";"40913.70435185185";"NE4 7RU";"54.9661468";"-1.6362294"
"35";"EAST END";"40913.70922453704";"NE28 6QD";"54.9921988";"-1.515795"
"36";"CITY";"40913.74247685185";"NE4 6JG";"54.9719748";"-1.6344969"
"36";"CITY";"40913.76376157408";"NE4 8AH";"54.9718675";"-1.6538079"
"36";"CITY";"40913.77542824074";"NE24 2EX";"55.1242022";"-1.5116667"
"23";"MOORSIDE";"40913.79123842593";"NE4 5EQ";"54.9768148";"-1.6327259"
"2";"GOSFORTH";"40913.80070601852";"NE3 3TB";"55.0091977";"-1.6459574"
"2";"GOSFORTH";"40914.38159722222";"NE3 3TB";"55.0091977";"-1.6459574"
"2";"GOSFORTH";"40914.38300925926";"NE3 1AR";"55.0071528";"-1.6117037"
"36";"CITY";"40914.39920138889";"NE1 5PW";"54.9722632";"-1.6157763"
"36";"CITY";"40914.41355324074";"NE61 6LP";"55.1552125";"-1.6577667"
"1";"OUTER WEST LIBRARY";"40914.42393518519";"NE12 5XU";"55.0423556";"-1.5761778"
