# ----------------------------------------,,,,,
# www.northernstage.co.uk,,,,,
# Devices,,,,,
# 20081018-20120322,,,,,
# ----------------------------------------,,,,,
,,,,,
Mobile Device Info,Visits,Pages/Visit,Avg. Time on Site,% New Visits,Bounce Rate
07/01/2010,4,,,,
08/01/2010,6,,,,
09/01/2010,8,,,,
10/01/2010,6,,,,
11/01/2010,1,,,,
12/01/2010,7,,,,
13/01/2010,6,,,,
14/01/2010,5,,,,
15/01/2010,12,,,,
16/01/2010,9,,,,
17/01/2010,7,,,,
18/01/2010,16,,,,
19/01/2010,6,,,,
20/01/2010,7,,,,
21/01/2010,9,,,,
22/01/2010,13,,,,
23/01/2010,16,,,,
24/01/2010,13,,,,
25/01/2010,4,,,,
26/01/2010,8,,,,
27/01/2010,3,,,,
28/01/2010,12,,,,
29/01/2010,8,,,,
30/01/2010,14,,,,
31/01/2010,7,,,,
01/02/2010,8,,,,
02/02/2010,12,,,,
03/02/2010,8,,,,
04/02/2010,9,,,,
05/02/2010,10,,,,
06/02/2010,9,,,,
07/02/2010,7,,,,
08/02/2010,5,,,,
09/02/2010,11,,,,
10/02/2010,11,,,,
11/02/2010,9,,,,
12/02/2010,14,,,,
13/02/2010,14,,,,
14/02/2010,7,,,,
15/02/2010,6,,,,
16/02/2010,10,,,,
17/02/2010,10,,,,
18/02/2010,15,,,,
19/02/2010,14,,,,
20/02/2010,10,,,,
21/02/2010,7,,,,
22/02/2010,8,,,,
23/02/2010,0,,,,
24/02/2010,14,,,,
25/02/2010,10,,,,
26/02/2010,7,,,,
27/02/2010,6,,,,
28/02/2010,6,,,,
01/03/2010,8,,,,
02/03/2010,9,,,,
03/03/2010,7,,,,
04/03/2010,10,,,,
05/03/2010,8,,,,
06/03/2010,13,,,,
07/03/2010,6,,,,
08/03/2010,8,,,,
09/03/2010,7,,,,
10/03/2010,8,,,,
11/03/2010,8,,,,
12/03/2010,7,,,,
13/03/2010,11,,,,
14/03/2010,7,,,,
15/03/2010,15,,,,
16/03/2010,18,,,,
17/03/2010,11,,,,
18/03/2010,9,,,,
19/03/2010,11,,,,
20/03/2010,11,,,,
21/03/2010,12,,,,
22/03/2010,7,,,,
23/03/2010,4,,,,
24/03/2010,28,,,,
25/03/2010,15,,,,
26/03/2010,7,,,,
27/03/2010,11,,,,
28/03/2010,7,,,,
29/03/2010,3,,,,
30/03/2010,5,,,,
31/03/2010,9,,,,
01/04/2010,14,,,,
02/04/2010,9,,,,
03/04/2010,7,,,,
04/04/2010,6,,,,
05/04/2010,11,,,,
06/04/2010,12,,,,
07/04/2010,11,,,,
08/04/2010,5,,,,
09/04/2010,13,,,,
10/04/2010,7,,,,
11/04/2010,9,,,,
12/04/2010,16,,,,
13/04/2010,22,,,,
14/04/2010,16,,,,
15/04/2010,18,,,,
16/04/2010,16,,,,
17/04/2010,15,,,,
18/04/2010,11,,,,
19/04/2010,2,,,,
20/04/2010,0,,,,
21/04/2010,0,,,,
22/04/2010,0,,,,
23/04/2010,0,,,,
24/04/2010,0,,,,
25/04/2010,0,,,,
26/04/2010,0,,,,
27/04/2010,0,,,,
28/04/2010,0,,,,
29/04/2010,0,,,,
30/04/2010,0,,,,
01/05/2010,0,,,,
02/05/2010,0,,,,
03/05/2010,0,,,,
04/05/2010,0,,,,
05/05/2010,0,,,,
06/05/2010,0,,,,
07/05/2010,0,,,,
08/05/2010,0,,,,
09/05/2010,0,,,,
10/05/2010,0,,,,
11/05/2010,0,,,,
12/05/2010,0,,,,
13/05/2010,0,,,,
14/05/2010,0,,,,
15/05/2010,0,,,,
16/05/2010,0,,,,
17/05/2010,0,,,,
18/05/2010,0,,,,
19/05/2010,0,,,,
20/05/2010,0,,,,
21/05/2010,0,,,,
22/05/2010,0,,,,
23/05/2010,0,,,,
24/05/2010,0,,,,
25/05/2010,0,,,,
26/05/2010,0,,,,
27/05/2010,0,,,,
28/05/2010,0,,,,
29/05/2010,0,,,,
30/05/2010,0,,,,
31/05/2010,0,,,,
01/06/2010,0,,,,
02/06/2010,0,,,,
03/06/2010,0,,,,
04/06/2010,0,,,,
05/06/2010,0,,,,
06/06/2010,0,,,,
07/06/2010,8,,,,
08/06/2010,12,,,,
09/06/2010,11,,,,
10/06/2010,24,,,,
11/06/2010,10,,,,
12/06/2010,12,,,,
13/06/2010,7,,,,
14/06/2010,15,,,,
15/06/2010,11,,,,
16/06/2010,14,,,,
17/06/2010,6,,,,
18/06/2010,8,,,,
19/06/2010,10,,,,
20/06/2010,4,,,,
21/06/2010,6,,,,
22/06/2010,8,,,,
23/06/2010,6,,,,
24/06/2010,6,,,,
25/06/2010,6,,,,
26/06/2010,4,,,,
27/06/2010,5,,,,
28/06/2010,10,,,,
29/06/2010,3,,,,
30/06/2010,2,,,,
01/07/2010,8,,,,
02/07/2010,6,,,,
03/07/2010,11,,,,
04/07/2010,3,,,,
05/07/2010,5,,,,
06/07/2010,5,,,,
07/07/2010,7,,,,
08/07/2010,5,,,,
09/07/2010,5,,,,
10/07/2010,12,,,,
11/07/2010,4,,,,
12/07/2010,6,,,,
13/07/2010,6,,,,
14/07/2010,6,,,,
15/07/2010,9,,,,
16/07/2010,4,,,,
17/07/2010,6,,,,
18/07/2010,4,,,,
19/07/2010,5,,,,
20/07/2010,4,,,,
21/07/2010,4,,,,
22/07/2010,3,,,,
23/07/2010,3,,,,
24/07/2010,7,,,,
25/07/2010,5,,,,
26/07/2010,7,,,,
27/07/2010,3,,,,
28/07/2010,4,,,,
29/07/2010,4,,,,
30/07/2010,1,,,,
31/07/2010,7,,,,
01/08/2010,2,,,,
02/08/2010,4,,,,
03/08/2010,3,,,,
04/08/2010,8,,,,
05/08/2010,3,,,,
06/08/2010,5,,,,
07/08/2010,9,,,,
08/08/2010,11,,,,
09/08/2010,3,,,,
10/08/2010,5,,,,
11/08/2010,8,,,,
12/08/2010,8,,,,
13/08/2010,2,,,,
14/08/2010,8,,,,
15/08/2010,1,,,,
16/08/2010,7,,,,
17/08/2010,11,,,,
18/08/2010,3,,,,
19/08/2010,6,,,,
20/08/2010,10,,,,
21/08/2010,1,,,,
22/08/2010,7,,,,
23/08/2010,3,,,,
24/08/2010,12,,,,
25/08/2010,6,,,,
26/08/2010,1,,,,
27/08/2010,13,,,,
28/08/2010,9,,,,
29/08/2010,9,,,,
30/08/2010,5,,,,
31/08/2010,11,,,,
01/09/2010,9,,,,
02/09/2010,12,,,,
03/09/2010,9,,,,
04/09/2010,12,,,,
05/09/2010,4,,,,
06/09/2010,8,,,,
07/09/2010,19,,,,
08/09/2010,24,,,,
09/09/2010,27,,,,
10/09/2010,16,,,,
11/09/2010,14,,,,
12/09/2010,17,,,,
13/09/2010,20,,,,
14/09/2010,26,,,,
15/09/2010,29,,,,
16/09/2010,28,,,,
17/09/2010,16,,,,
18/09/2010,19,,,,
19/09/2010,14,,,,
20/09/2010,25,,,,
21/09/2010,19,,,,
